week,time,fav,spr,und,blank1,Anne,Cate ,Donna ,Elliott,Francis,Franklona,Gabhandy,Gary,Joeanne,Jonathan,Leslie,Miles,Packy,Paul,Roberta,Soblocoa,blank2,s_Anne,s_Cate,s_Donna ,s_Elliott,s_Francis,s_Franklona,s_Gabhandy,s_Gary,s_Joeanne,s_Jonathan,s_Leslie,s_Miles,s_Packy,s_Paul ,s_Roberta,s_Soblocoa
2,9/14 1:00 ET,TEN,-3.5,DAL,,TEN 6,DAL 10,TEN 6,TEN 6,DAL 10,DAL 10,DAL 10,TEN 6,TEN 6,TEN 6,TEN 6,TEN 6,DAL 10,TEN 6,TEN 6,DAL 10,,49,59,48,62,49,88,52,59,38,60,78,34,49,46,42,64
2,9/14 1:00 ET,NYG,-2,ARI,,NYG 9,NYG 9,ARI 7,ARI 7,ARI 7,ARI 7,NYG 9,ARI 7,NYG 9,ARI 7,ARI 7,ARI 7,ARI 7,NYG 9,NYG 9,NYG 9,,49,59,48,62,49,88,52,59,38,60,78,34,49,46,42,64
2,9/14 1:00 ET,NE,-3,MIN,,NE 9,MIN 7,MIN 7,MIN 7,NE 9,MIN 7,MIN 7,NE 9,MIN 7,MIN 7,MIN 7,MIN 7,NE 9,NE 9,NE 9,NE 9,,49,59,48,62,49,88,52,59,38,60,78,34,49,46,42,64
2,9/14 1:00 ET,NO,-6,CLE,,NO 4,CLE 12,NO 4,NO 4,NO 4,CLE 12,NO 4,NO 4,NO 4,NO 4,CLE 12,NO 4,NO 4,NO 4,NO 4,CLE 12,,49,59,48,62,49,88,52,59,38,60,78,34,49,46,42,64
2,9/14 1:00 ET,CIN,-5.5,ATL,,ATL 11,CIN 5,CIN 5,CIN 5,CIN 5,ATL 11,CIN 5,ATL 11,CIN 5,CIN 5,CIN 5,ATL 11,CIN 5,CIN 5,CIN 5,ATL 11,,49,59,48,62,49,88,52,59,38,60,78,34,49,46,42,64
2,9/14 4:05 ET,TB,-4.5,STL,,TB 6,TB 6,STL 10,TB 6,TB 6,STL 10,STL 10,STL 10,TB 6,STL 10,TB 6,TB 6,TB 6,TB 6,TB 6,STL 10,,49,59,48,62,49,88,52,59,38,60,78,34,49,46,42,64
2,9/14 4:05 ET,SEA,-5,SD,,SEA 4,SEA 4,SD 12,SEA 4,SEA 4,SD 12,SEA 4,SEA 4,SEA 4,SEA 4,SD 12,SEA 4,SEA 4,SEA 4,SEA 4,SD 12,,49,59,48,62,49,88,52,59,38,60,78,34,49,46,42,64
2,9/14 4:25 ET,HOU,-3,OAK,,OAK 11,HOU 5,OAK 11,HOU 5,HOU 5,HOU 5,HOU 5,HOU 5,OAK 11,HOU 5,OAK 11,HOU 5,HOU 5,OAK 11,HOU 5,HOU 5,,49,59,48,62,49,88,52,59,38,60,78,34,49,46,42,64
2,9/14 4:25 ET,GB,-7.5,NYJ,,NYJ 12,GB 4,GB 4,GB 4,GB 4,NYJ 12,GB 4,GB 4,GB 4,NYJ 12,GB 4,GB 4,GB 4,GB 4,NYJ 12,GB 4,,49,59,48,62,49,88,52,59,38,60,78,34,49,46,42,64
2,9/14 4:25 ET,DEN,-13,KC,,DEN 2,DEN 2,KC 14,DEN 2,DEN 2,DEN 2,DEN 2,DEN 2,DEN 2,DEN 2,KC 14,DEN 2,DEN 2,DEN 2,DEN 2,DEN 2,,49,59,48,62,49,88,52,59,38,60,78,34,49,46,42,64
2,9/14 8:30 ET,SF,-7,CHI,,SF 5,CHI 11,SF 5,CHI 11,SF 5,CHI 11,SF 5,SF 5,SF 5,CHI 11,SF 5,SF 5,SF 5,SF 5,CHI 11,SF 5,,49,59,48,62,49,88,52,59,38,60,78,34,49,46,42,64
2,9/15 8:35 ET,IND,-3,PHI,,PHI 10,PHI 10,IND 6,IND 6,IND 6,PHI 10,IND 6,IND 6,PHI 10,PHI 10,IND 6,IND 6,IND 6,IND 6,PHI 10,IND 6,,49,59,48,62,49,88,52,59,38,60,78,34,49,46,42,64
3,9/18 8:25 ET,ATL,-6.5,TB,,ATL 3,ATL 3,ATL 3,TB 13,ATL 3,TB 13,ATL 3,ATL 3,ATL 3,ATL 3,ATL 3,ATL 3,ATL 3,ATL 3,TB 13,ATL 3,,93,119,115,94,109,140,98,97,72,90,119,112,112,118,69,103
3,9/21 1:00 ET,BUF,-2.5,SD,,SD 7,SD 7,BUF 9,BUF 9,SD 7,SD 7,SD 7,BUF 9,BUF 9,BUF 9,BUF 9,SD 7,SD 7,BUF 9,SD 7,SD 7,,93,119,115,94,109,140,98,97,72,90,119,112,112,118,69,103
3,9/21 1:00 ET,DAL,-2,STL,,DAL 7,DAL 7,STL 9,STL 9,DAL 7,DAL 7,STL 9,STL 9,DAL 7,DAL 7,STL 9,DAL 7,DAL 7,STL 9,DAL 7,STL 9,,93,119,115,94,109,140,98,97,72,90,119,112,112,118,69,103
3,9/21 1:00 ET,PHI,-4,WAS,,PHI 3,PHI 3,WAS 13,PHI 3,PHI 3,PHI 3,PHI 3,WAS 13,PHI 3,PHI 3,WAS 13,PHI 3,PHI 3,PHI 3,PHI 3,PHI 3,,93,119,115,94,109,140,98,97,72,90,119,112,112,118,69,103
3,9/21 1:00 ET,NYG,-1,HOU,,NYG 12,HOU 4,HOU 4,HOU 4,HOU 4,HOU 4,HOU 4,HOU 4,HOU 4,HOU 4,NYG 12,HOU 4,HOU 4,NYG 12,HOU 4,NYG 12,,93,119,115,94,109,140,98,97,72,90,119,112,112,118,69,103
3,9/21 1:00 ET,NO,-10,MIN,,NO 5,MIN 11,MIN 11,NO 5,NO 5,MIN 11,MIN 11,NO 5,NO 5,NO 5,NO 5,MIN 11,NO 5,NO 5,NO 5,NO 5,,93,119,115,94,109,140,98,97,72,90,119,112,112,118,69,103
3,9/21 1:00 ET,CIN,-6.5,TEN,,TEN 12,CIN 4,CIN 4,CIN 4,CIN 4,TEN 12,TEN 12,CIN 4,CIN 4,CIN 4,TEN 12,CIN 4,CIN 4,CIN 4,CIN 4,CIN 4,,93,119,115,94,109,140,98,97,72,90,119,112,112,118,69,103
3,9/21 1:00 ET,BAL,-1.5,CLE,,BAL 8,CLE 8,CLE 8,BAL 8,CLE 8,CLE 8,BAL 8,BAL 8,CLE 8,BAL 8,CLE 8,CLE 8,BAL 8,BAL 8,BAL 8,CLE 8,,93,119,115,94,109,140,98,97,72,90,119,112,112,118,69,103
3,9/21 1:00 ET,DET,-1.5,GB,,GB 6,GB 6,DET 10,GB 6,GB 6,DET 10,DET 10,GB 6,GB 6,DET 10,DET 10,GB 6,DET 10,GB 6,GB 6,GB 6,,93,119,115,94,109,140,98,97,72,90,119,112,112,118,69,103
3,9/21 1:00 ET,IND,-6.5,JAC,,IND 3,IND 3,JAC 13,IND 3,IND 3,JAC 13,IND 3,IND 3,IND 3,IND 3,JAC 13,IND 3,IND 3,IND  3,IND 3,IND 3,,93,119,115,94,109,140,98,97,72,90,119,112,112,118,69,103
3,9/21 1:00 ET,NE,-14,OAK,,NE 2,NE 2,OAK 14,NE 2,NE 2,NE 2,OAK 14,NE 2,NE 2,NE 2,NE 2,NE 2,NE 2,NE 2,NE 2,NE 2,,93,119,115,94,109,140,98,97,72,90,119,112,112,118,69,103
3,9/21 4:05 ET,SF,-3,ARI,,SF 8,ARI 8,ARI 8,SF 8,SF 8,SF 8,SF 8,SF 8,ARI 8,ARI 8,ARI 8,ARI 8,ARI 8,ARI 8,SF 8,SF 8,,93,119,115,94,109,140,98,97,72,90,119,112,112,118,69,103
3,9/21 4:25 ET,SEA,-4.5,DEN,,DEN 10,SEA 6,SEA 6,SEA 6,DEN 10,DEN 10,DEN 10,DEN 10,SEA 6,SEA 6,SEA 6,SEA 6,SEA 6,SEA 6,SEA 6,DEN 10,,93,119,115,94,109,140,98,97,72,90,119,112,112,118,69,103
3,9/21 4:25 ET,MIA,-5.5,KC,,KC 10,KC 10,KC 10,MIA 6,MIA 6,KC 10,MIA 6,KC 10,MIA 6,MIA 6,KC 10,MIA 6,MIA 6,MIA 6,MIA 6,MIA 6,,93,119,115,94,109,140,98,97,72,90,119,112,112,118,69,103
3,9/21 8:30 ET,CAR,-3,PIT,,PIT 8,PIT 8,CAR 8,CAR 8,CAR 8,PIT 8,PIT 8,PIT 8,PIT 8,CAR 8,CAR 8,CAR 8,PIT 8,CAR 8,CAR 8,PIT 8,,93,119,115,94,109,140,98,97,72,90,119,112,112,118,69,103
3,9/22 8:35 ET,NYJ,-1.5,CHI,,NYJ 9,CHI 7,CHI 7,CHI 7,NYJ 9,NYJ 9,CHI 7,CHI 7,NYJ 9,NYJ 9,NYJ 9,CHI 7,CHI 7,NYJ 9,CHI 7,CHI 7,,93,119,115,94,109,140,98,97,72,90,119,112,112,118,69,103
4,9/25 8:25 ET,WAS,-3,NYG,,NYG 8,NYG 8,NYG 8,WAS 8,NYG 8,WAS 8,NYG 8,WAS 8,WAS 8,WAS 8,WAS 8,NYG 8,NYG 8,WAS 8,WAS 8,NYG 8,,161,187,163,132,143,187,147,147,121,149,175,162,193,172,121,157
4,9/28 1:00 ET,MIA,-4,OAK,,MIA 5,MIA 5,OAK 11,MIA 5,MIA 5,MIA 5,OAK 11,OAK 11,OAK 11,MIA 5,MIA 5,MIA 5,MIA 5,OAK 11,MIA 5,MIA 5,,161,187,163,132,143,187,147,147,121,149,175,162,193,172,121,157
4,9/28 1:00 ET,GB,-2,CHI,,CHI 9,CHI 9,GB 7,CHI 9,CHI 9,GB 7,GB 7,GB 7,GB 7,GB 7,GB 7,CHI 9,GB 7,GB 7,CHI 9,CHI 9,,161,187,163,132,143,187,147,147,121,149,175,162,193,172,121,157
4,9/28 1:00 ET,HOU,-3,BUF,,HOU 5,BUF 11,BUF 11,BUF 11,HOU 5,BUF 11,HOU 5,HOU 5,HOU 5,HOU 5,HOU 5,HOU 5,HOU 5,BUF 11,HOU 5,HOU 5,,161,187,163,132,143,187,147,147,121,149,175,162,193,172,121,157
4,9/28 1:00 ET,IND,-7.5,TEN,,TEN 11,TEN 11,TEN 11,IND 5,IND 5,TEN 11,IND 5,IND 5,IND 5,IND 5,IND 5,IND 5,IND 5,IND 5,IND 5,TEN 11,,161,187,163,132,143,187,147,147,121,149,175,162,193,172,121,157
4,9/28 1:00 ET,BAL,-3,CAR,,CAR 9,CAR 9,CAR 9,BAL 7,CAR 9,CAR 9,CAR 9,BAL 7,BAL 7,CAR 9,BAL 7,BAL 7,BAL 7,BAL 7,BAL 7,BAL 7,,161,187,163,132,143,187,147,147,121,149,175,162,193,172,121,157
4,9/28 1:00 ET,NYJ,-1.5,DET,,DET 7,NYJ 9,DET 7,DET 7,DET 7,NYJ 9,NYJ 9,DET 7,DET 7,NYJ 9,NYJ 9,DET 7,DET 7,NYJ 9,DET 7,NYJ 9,,161,187,163,132,143,187,147,147,121,149,175,162,193,172,121,157
4,9/28 1:00 ET,PIT,-7.5,TB,,PIT 3,PIT 3,TB 13,PIT 3,PIT 3,TB 13,PIT 3,PIT 3,PIT 3,PIT 3,PIT 3,PIT 3,PIT 3,PIT 3,TB 13,PIT 3,,161,187,163,132,143,187,147,147,121,149,175,162,193,172,121,157
4,9/28 4:05 ET,SD,-12,JAC,,SD 1,SD 1,SD 1,SD 1,SD 1,SD 1,JAC 15,SD 1,SD 1,SD 1,SD 1,SD 1,SD 1,SD 1,SD 1,SD 1,,161,187,163,132,143,187,147,147,121,149,175,162,193,172,121,157
4,9/28 4:25 ET,SF,-4,PHI,,PHI 12,PHI 12,SF 4,SF 4,SF 4,PHI 12,SF 4,SF 4,SF 4,SF 4,SF 4,SF 4,SF 4,SF 4,PHI 12,SF 4,,161,187,163,132,143,187,147,147,121,149,175,162,193,172,121,157
4,9/28 4:25 ET,ATL,-6,MIN,,ATL 4,MIN 12,ATL 4,ATL 4,ATL 4,MIN 12,ATL 4,ATL 4,ATL 4,ATL 4,ATL 4,MIN 12,ATL 4,ATL 4,MIN 12,ATL 4,,161,187,163,132,143,187,147,147,121,149,175,162,193,172,121,157
4,9/28 8:30 ET,NO,-3,DAL,,NO 3,DAL 13,NO 3,NO 3,NO 3,DAL 13,NO 3,NO 3,NO 3,NO 3,NO 3,DAL 13,NO 3,NO 3,NO 3,NO 3,,161,187,163,132,143,187,147,147,121,149,175,162,193,172,121,157
4,9/29 8:30 ET,NE,-3,KC,,KC 8,KC 8,KC 8,KC 8,NE 8,NE 8,NE 8,KC 8,NE 8,NE 8,KC 8,KC 8,KC 8,NE 8,NE 8,NE 8,,161,187,163,132,143,187,147,147,121,149,175,162,193,172,121,157
5,10/2 8:25 ET,GB,-9.5,MIN,,GB 4,GB 4,MIN 12,MIN 12,GB 4,MIN 12,GB 4,GB 4,GB 4,GB 4,GB 4,GB 4,GB 4,GB 4,MIN 12,GB 4,,195,234,211,169,178,238,176,191,157,176,217,237,250,196,176,187
5,10/5 1:00 ET,CAR,-1.5,CHI,,CHI 6,CHI 6 ,CAR 10,CHI 6,CAR 10,CAR 10,CHI 6,CHI 6,CHI 6,CAR 10,CAR 10,CAR 10,CHI 6,CHI 6,CHI 6,CHI 6,,195,234,211,169,178,238,176,191,157,176,217,237,250,196,176,187
5,10/5 1:00 ET,CLE,-1,TEN,,TEN 8,TEN 8,CLE 8,CLE 8,CLE 8,CLE 8,TEN 8,TEN 8,CLE 8,TEN 8,TEN 8,CLE 8,CLE 8,TEN 8,TEN 8,CLE 8,,195,234,211,169,178,238,176,191,157,176,217,237,250,196,176,187
5,10/5 1:00 ET,PHI,-4,STL,,PHI 2,STL 14,PHI 2,PHI 2,PHI 2,PHI 2,STL 14,PHI 2,PHI 2,PHI 2,PHI 2,PHI 2,PHI 2,PHI 2,PHI 2,PHI 2,,195,234,211,169,178,238,176,191,157,176,217,237,250,196,176,187
5,10/5 1:00 ET,NYG,-4,ATL,,ATL 7,ATL 7,ATL 7,ATL 7,NYG 9,ATL 7,NYG 9,ATL 7,NYG 9,NYG 9,NYG 9,ATL 7,NYG 9,NYG 9,ATL 7,ATL 7,,195,234,211,169,178,238,176,191,157,176,217,237,250,196,176,187
5,10/5 1:00 ET,NO,-11,TB,,TB 12,NO 4,TB 12,NO 4,NO 4,TB 12,NO 4,NO 4,NO 4,NO 4,NO 4,NO 4,NO 4,NO 4,TB 12,NO 4,,195,234,211,169,178,238,176,191,157,176,217,237,250,196,176,187
5,10/5 1:00 ET,DAL,-5.5,HOU,,DAL 11,DAL 11,HOU 5,HOU 5,DAL 11,HOU 5,DAL 11,HOU 5,HOU 5,DAL 11,HOU 5,HOU 5,HOU 5,HOU 5,HOU 5,HOU 5,,195,234,211,169,178,238,176,191,157,176,217,237,250,196,176,187
5,10/5 1:00 ET,DET,-5,BUF,,DET 1,DET 1,DET 1,DET 1,DET 1,BUF 15,DET 1,DET 1,DET 1,DET 1,DET 1,DET 1,DET 1,DET 1,DET 1,DET 1,,195,234,211,169,178,238,176,191,157,176,217,237,250,196,176,187
5,10/5 1:00 ET,IND,-3,BAL,,BAL 11,IND 5,IND 5,IND 5,IND 5,BAL 11,IND 5,IND 5,IND 5,IND 5,IND 5,BAL 11,IND 5,BAL 11,IND 5,BAL 11,,195,234,211,169,178,238,176,191,157,176,217,237,250,196,176,187
5,10/5 1:00 ET,PIT,-6,JAC,,PIT 4,JAC 12,JAC 12,PIT 4,PIT 4,JAC 12,PIT 4,PIT 4,PIT 4,PIT 4,PIT 4,PIT 4,PIT 4,PIT 4,JAC 12,PIT 4,,195,234,211,169,178,238,176,191,157,176,217,237,250,196,176,187
5,10/5 4:05 ET,DEN,-8.5,ARI,,DEN 2,DEN 2,ARI 14,DEN 2,DEN 2,ARI 14,DEN 2,DEN 2,DEN 2,DEN 2,DEN 2,DEN 2,DEN 2,DEN 2,DEN 2,DEN 2,,195,234,211,169,178,238,176,191,157,176,217,237,250,196,176,187
5,10/5 4:25 ET,SF,-5,KC,,KC 7,KC 7,KC 7,SF 9,SF 9,KC 7,SF 9,KC 7,SF 9,KC 7,SF 9,KC 7,SF 9,SF 9,KC 7,KC 7,,195,234,211,169,178,238,176,191,157,176,217,237,250,196,176,187
5,10/5 4:25 ET,SD,-7,NYJ,,NYJ 10,NYJ 10,SD 6,SD 6,NYJ 10,NYJ 10,NYJ 10,SD 6,SD 6,SD 6,SD 6,SD 6,SD 6,SD 6,SD 6,NYJ 10,,195,234,211,169,178,238,176,191,157,176,217,237,250,196,176,187
5,10/5 8:30 ET,CIN,-2.5,NE,,NE 11,CIN 5,CIN 5,CIN 5,CIN 5,CIN 5,CIN 5,CIN 5,CIN 5,NE 11,CIN 5,NE 11,CIN 5,NE 11,NE 11,CIN 5,,195,234,211,169,178,238,176,191,157,176,217,237,250,196,176,187
5,10/6 8:30 ET,SEA,-7,WAS,,SEA 2,SEA 2,SEA 2,SEA 2,SEA 2,WAS 14,SEA 2,SEA 2,SEA 2,SEA 2,WAS 14,SEA 2,SEA 2,SEA 2,SEA 2,SEA 2,,195,234,211,169,178,238,176,191,157,176,217,237,250,196,176,187
6,10/9 8:25 ET,IND,-2.5,HOU,,IND 7,HOU 9,HOU 9,IND 7,IND 7,HOU 9 ,IND 7,IND 7,HOU 9,IND 7,IND 7,HOU 9,HOU 9,HOU 9,IND 7,IND 7,,231,262,244,211,248,273,226,220,212,246,272,290,305,249,204,213
6,10/12 1:00 ET,DEN,-10,NYJ,,DEN 2,DEN 2,NYJ 14,DEN 2,DEN 2,NYJ 14,DEN 2,DEN 2,DEN 2,DEN 2,DEN 2,DEN 2,DEN 2,DEN 2,DEN 2,DEN 2,,231,262,244,211,248,273,226,220,212,246,272,290,305,249,204,213
6,10/12 1:00 ET,CLE,-2,PIT,,PIT 7,CLE 9,CLE 9,CLE 9,PIT 7,CLE 9,PIT 7,PIT 7,PIT 7,PIT 7,CLE 9,CLE 9,CLE 9,PIT 7,PIT 7,PIT 7,,231,262,244,211,248,273,226,220,212,246,272,290,305,249,204,213
6,10/12 1:00 ET,TEN,-4,JAC,,TEN 2,TEN 2,JAC 14,TEN 2,TEN 2,JAC 14,TEN 2,TEN 2,TEN 2,TEN 2,TEN 2,TEN 2,TEN 2,TEN 2,TEN 2,TEN 2,,231,262,244,211,248,273,226,220,212,246,272,290,305,249,204,213
6,10/12 4:25 ET,ATL,-3.5,CHI,,ATL 7,CHI 9,ATL 7,CHI 9,CHI 9,CHI 9,ATL 7,ATL 7,ATL 7,CHI 9,ATL 7,ATL 7,ATL 7,ATL 7,CHI 9,CHI 9,,231,262,244,211,248,273,226,220,212,246,272,290,305,249,204,213
6,10/12 1:00 ET,GB,-2,MIA,,MIA 10,GB 6,MIA 10,GB 6,GB 6,MIA 10,GB 6,GB 6,GB 6,GB 6,MIA 10,MIA 10,GB 6,GB 6,MIA 10,GB 6,,231,262,244,211,248,273,226,220,212,246,272,290,305,249,204,213
6,10/12 1:00 ET,MIN,-1.5,DET,,DET 4,DET 4,DET 4,MIN 12,DET 4,DET 4,DET 4,DET 4,DET 4,DET 4,DET 4,MIN 12,DET 4,MIN 12,DET 4,MIN 12,,231,262,244,211,248,273,226,220,212,246,272,290,305,249,204,213
6,10/12 1:00 ET,CIN,-7,CAR,,CAR 13,CIN 3,CIN 3,CIN 3,CIN 3,CAR 13,CIN 3,CIN 3,CIN 3,CIN 3,CIN 3,CIN 3,CIN 3,CIN 3,CAR 13,CIN 3,,231,262,244,211,248,273,226,220,212,246,272,290,305,249,204,213
6,10/12 1:00 ET,BUF,0,NE,,NE 5,NE 5,BUF 11,NE 5,NE 5,BUF 11,NE 5,NE 5,NE 5,BUF 11,NE 5,NE 5,NE 5,BUF 11,NE 5,BUF 11,,231,262,244,211,248,273,226,220,212,246,272,290,305,249,204,213
6,10/12 1:00 ET,BAL,-3.5,TB,,TB 6,TB 6,TB 6,TB 6,BAL 10,TB 6,TB 6,BAL 10,BAL 10,TB 6,BAL 10,TB 6,BAL 10,BAL 10,TB 6,TB 6,,231,262,244,211,248,273,226,220,212,246,272,290,305,249,204,213
6,10/12 4:05 ET,SD,-7.5,OAK,,SD 2,SD 2,OAK 14,SD 2,SD 2,SD 2,SD 2,SD 2,SD 2,SD 2,SD 2,SD 2,SD 2,SD 2,OAK 14,SD 2,,231,262,244,211,248,273,226,220,212,246,272,290,305,249,204,213
6,10/12 4:25 ET,SEA,-9.5,DAL,,SEA 3,SEA 3,SEA 3,SEA 3,DAL 13,DAL 13,SEA 3,SEA 3,SEA 3,SEA 3,SEA 3,SEA 3,DAL 13,SEA 3,SEA 3,SEA 3,,231,262,244,211,248,273,226,220,212,246,272,290,305,249,204,213
